ID,Name of Station,Type of Station,District,Sector,Altitude (m),Latitude(-),Longitude
13,Busogo,Agro-Meteo,Musanze,Busogo,2100,,-1.554288,29.550834
5,Butare,Synoptic,Huye,Ngoma,1720,,-2.595,29.74
3,Byimana,Agro-Meteo,Ruhango,Byimana,1827,,-2.142341,29.743927
1,Byumba,Agro-Meteo,Gicumbi,Byumba,2235,,-1.586389,30.049444
8,Gikongoro,Agro-Meteo,Nyamagabe,Gasaka,1940.6,,-2.467195,29.577578
10,Gisenyi-Aero,Synoptic,Rubavu,Gisenyi,1559.8,,-1.67606,29.25989
11,Gitega,Agro-Meteo,Nyarugenge,Gitega,1523.8,,-1.95616,30.057667
9,Kamembe aero,Synoptic,Rusizi,Kamembe,1585.5,,-2.459823,28.907747
14,Kanombe,Synoptic,Kicukiro,Kanaombe,1490,,-1.965028,30.133067
2,Kawangire,Agro-Meteo,Kayonza,Rukara,1580,,-1.824167,30.4475
4,Kazo-Ngoma,Agro-Meteo,Ngoma,Kazo,1663.8,,-2.183428,30.514719
12,Nyagatare,Agro-Meteo,Nyagatare,Nyagatare,1382.5,,-1.294715,30.331512
7,Rubengera,Agro-Meteo,Karongi,Rubengera,1590,,-2.067188,29.410518
6,Ruhengeri-Aero,Synoptic,Musanze,Muhoza,1872.7,,-1.498998,
